ChatGPT Criteria Output: Abstract Index, ChatGPT Overall Result, ChatGPT Criteria Result 1, ChatGPT Criteria Result 2 ...
5, 1, 1, 1, 1, 1, 0, 0, 0, 0
19, 0, 0, 0, 0, 1, 0, 0, 1, 0
20, 0, 0, 0, 0, 0, 0, 0, 1, 1
49, 1, 1, 1, 1, 1, 0, 0, 0, 0
51, 1, 1, 1, 1, 1, 0, 0, 0, 0
83, 0, 1, 1, 1, 1, 0, 0, 0, 0
109, 1, 1, 1, 1, 1, 0, 0, 0, 0
115, 1, 1, 1, 1, 1, 0, 0, 0, 0
168, 1, 1, 1, 1, 1, 0, 0, 0, 0
173, 0, 0, 1, 1, 1, 0, 0, 1, 0
219, 1, 1, 1, 1, 1, 0, 0, 0, 0
314, 0, 0, 1, 1, 1, 0, 0, 0, 0
337, 1, 1, 1, 1, 1, 0, 0, 0, 0
345, 1, 1, 1, 1, 1, 0, 0, 0, 0
381, 1, 1, 1, 1, 1, 0, 0, 0, 0
397, 1, 1, 1, 1, 1, 0, 0, 0, 0
411, 0, 0, 1, 1, 1, 0, 0, 1, 0
415, 1, 1, 1, 1, 1, 0, 0, 0, 0
447, 1, 1, 1, 1, 1, 0, 0, 0, 0
448, 0, 0, 1, 0, 1, 0, 0, 1, 0
460, 0, 0, 1, 1, 1, 0, 0, 1, 0
463, 1, 1, 1, 1, 1, 0, 0, 0, 0
476, 0, 0, 0, 0, 0, 0, 0, 1, 0
483, 1, 1, 1, 1, 1, 0, 0, 0, 0
511, 1, 1, 1, 1, 1, 0, 0, 0, 0
516, 1, 1, 1, 1, 1, 0, 0, 0, 0
521, 1, 1, 1, 1, 1, 0, 0, 0, 0
522, 1, 1, 1, 1, 1, 0, 0, 0, 0
528, 1, 1, 1, 1, 1, 0, 0, 0, 0
534, 0, 0, 0, 1, 0, 0, 0, 1, 0
540, 1, 1, 1, 1, 1, 0, 0, 0, 0
545, 1, 1, 1, 1, 1, 0, 0, 0, 0
564, 1, 1, 1, 1, 1, 0, 0, 0, 0
581, 1, 1, 1, 1, 1, 0, 0, 0, 0
584, 1, 1, 1, 1, 1, 0, 0, 0, 0
595, 1, 1, 1, 1, 1, 0, 0, 0, 0
601, 0, 1, 1, 1, 1, 0, 0, 0, 0
613, 0, 0, 1, 1, 1, 0, 0, 0, 0
627, 1, 1, 1, 1, 1, 0, 0, 0, 0
647, 0, 0, 0, 0, 0, 0, 1, 0, 0
680, 1, 1, 1, 1, 1, 0, 0, 0, 0
694, 0, 0, 0, 1, 1, 0, 0, 0, 0
699, 1, 1, 1, 1, 1, 0, 0, 0, 0
747, 1, 1, 1, 1, 1, 0, 0, 0, 0
758, 1, 1, 1, 1, 1, 0, 0, 0, 0
768, 0, 0, 0, 0, 0, 1, 1, 1, 1
791, 1, 1, 1, 1, 1, 0, 0, 0, 0
803, 0, 0, 0, 0, 0, 0, 0, 1, 0
804, 0, 0, 1, 0, 1, 0, 0, 1, 0
866, 1, 1, 1, 1, 1, 0, 0, 0, 0
877, 0, 0, 0, 1, 1, 0, 0, 1, 0
888, 1, 1, 1, 1, 1, 0, 0, 0, 0
